Load	Indent Number	My Area	Keyence Area	Keyence Surface Area	My Box Area
1961	10	504.695129395	500.859	526.929	615.266299766
1961	4	503.907775879	502.195	528.937	603.989927264
980	3	350.652755243	353.167	366.271	365.788295994
1961	6	500.592741752	500.607	529.709	620.538215616
1961	1	496.130371094	493.402	522.638	607.685413667
980	9	316.38122709	318.603	332.306	367.893769551
1961	2	504.167360596	504.565	538.685	609.677051605
980	5	307.982709806	307.622	324.246	370.240698138
1961	7	502.947811473	502.178	528.958	611.663898255
1961	8	531.410371973	534.338	558.617	594.235456308
980	2	339.274983475	341.475	353.741	374.0938777
1961	3	532.29598999	528.053	550.496	619.860151331
980	7	311.839694772	311.719	325.371	376.262910685
1961	9	615.50838291	619.559	645.284	705.469242694
