Load	Indent Number	My Area	Keyence Area	Keyence Surface Area	My Box Area
4903	6	501.135128608	503.905	537.057	459.725945657
2942	10	302.517811858	303.117	324.892	333.981231104
980	4	105.079398623	104.934	108.826	216.237681931
4903	7	514.347602947	515.641	554.774	401.725428127
2942	1	305.496014974	306.893	325.969	381.281506701
1961	6	221.288189832	219.893	229.732	281.824049623
490	10	50.673227871	50.423	51.845	183.319198847
980	5	106.333776114	106.296	109.79	231.087583939
9807	4	995.272310107	1024.172	1174.842	788.907283195
4903	10	0.446805941311	497.334	527.98	10.3289605516
2942	3	308.613090206	309.358	354.545	339.708890513
4903	8	505.586583746	505.841	561.767	445.975382195
1961	4	196.377249125	196.621	206.095	239.145422566
2942	4	312.986052409	313.073	350.922	340.281231674
490	8	52.3095036831	52.28	53.691	181.990257407
1961	9	213.609467456	213.244	225.785	314.545270699
1961	8	192.282031156	192.29	205.308	273.362064572
4903	1	509.832749668	508.948	551.451	490.886067498
1961	5	202.234029707	202.55	227.912	260.749007484
4903	4	503.536710542	505.008	547.047	430.15147535
2942	7	317.917522038	317.778	335.389	367.491479857
490	5	51.7676005313	53.011	53.482	169.284371812
490	7	52.9857505132	52.758	54.407	189.43152487
4903	3	497.420299481	497.604	527.969	458.700243498
2942	5	311.709032726	310.999	333.429	334.457162134
2942	9	315.81934549	315.634	33.816	291.813982963
2942	8	308.264400435	310.66	330.594	306.818195717
4903	9	513.102282333	512.403	548.064	441.240801993
980	8	207.005494505	200.58	202.359	308.836612659
490	4	50.6068107716	50.188	51.645	171.153054376
1961	7	206.66737109	206.282	216.907	298.836727516
980	9	105.311858471	105.22	109.17	221.216870403
980	7	104.689952904	103.883	109.033	187.497427062
490	1	54.4861731675	54.12	55.724	203.05625412
490	3	50.9751237773	51.1	52.719	184.251518912
980	3	104.96165922	105.272	109.359	208.0425418
1961	3	212.507547398	211.473	221.647	277.281175964
1961	2	209.962564908	209.885	219.904	263.837615406
9807	5	1028.74049028	1031.056	1101.709	753.216459304
